"","RX_ProgID","ItemMeta1","ServiceType","ProgName","ProgDescription","ProgCounts"
"1",1,"Airport","Community","Aircraft Rescue & Firefighting  ARFF","Emergency services for aircraft and other emergencies on the  airport",2
"2",2,"Airport","Community","Airport Access","Provides for the background checks  fingerprinting  and other related activities for tenant and employee badging and  airport  access",2
"3",3,"Airport","Community","Air Service Development & Promotion","Promoting the  airport  to the surrounding area and businesses",2
"4",4,"Airport","Community","Aircraft Crash and Incident Investigation","Assist Federal Aviation Administration with aircraft incidents",2
"5",5,"Airport","Community","Aircraft Hangars","Maintenance and repair of structural  mechanical  and electrical aspects of hangars",2
"6",6,"Airport","Community","Airfield Inspection","Complete daily inspections of pavement  lighting  markers  etc  to ensure a safe operational area",2
"7",7,"Airport","Community","Airport Airfield Snow and Ice Control","Snow and ice control on the runways  taxiways  ramps and aircraft rescue and fire fighter access",2
"8",8,"Airport","Community","Airport  Maintenance","Runway  taxiway and apron repairs  light and electronic maintenance",1
"9",9,"Airport","Community","Airport  Management","Ensure that the  airport  is functioning within the Federal Aviation Administration regulations",3
"10",10,"Airport","Community","Airport  Security Plan Management","Maintain and modify Federal Aviation Administration required security plan as required",2
"11",11,"Airport","Community","Fuel Management","Fuel sales and management",2
"12",12,"Airport","Community","Air Traffic Control Tower","Maintenance and operations of control tower facility",2
"13",13,"Airport","Community","Fleet Airfield Equipment Maintenance","Maintenance of  airport  vehicles and equipment",2
"14",14,"Airport","Community","General Aviation","Provides opportunity for all civilian flying  except scheduled passenger airlines",1
"15",15,"Airport","Community","Parking Enforcement and Unattended Vehicles","Enforce no parking laws  locate and identify unattended vehicle which pose a safety threat",2
"16",16,"Airport","Community","Parking Lots Maintenance & Repair","Maintain and repair all parking lots at the  airport",2
"17",17,"Airport","Community","Property Management Leasing and Rentals","Leasing and rental agreements for all  airport  customers",2
"18",18,"Airport","Community","Public Relations","Airport  stakeholder outreach  education and engagement  Public education and  airport  tours",1
"19",19,"Animal Control","Community","Animal Adoptions & Transfers","Evaluate animals for health and behavior for adoption and transferred suitability",3
"20",20,"Animal Control","Community","Animal Code Enforcement and Investigations","Enforcement of animal ordinances",5
"21",21,"Animal Control","Community","Animal Control Call Response","Respond to  aggressive  loose  abandoned  and trapped animals",3
"22",22,"Animal Control","Community","Animal Impoundment","Impound incoming animals",2
"23",23,"Animal Control","Community","Animal Rescue Program","Protective custody program for animals",2
"24",24,"Animal Control","Community","Animal Shelter Services","Housing  care and maintenance of all impounded animals",4
"25",25,"Animal Control","Community","Dog and Cat Licenses","Issue licenses for all dog and cats",3
"26",26,"Animal Control","Community","Euthanasia","Euthanize impounded shelter animals",2
"27",27,"Animal Control","Community","Urban Wildlife Management Program","Monitor and dispose of raccoons  badgers  porcupines and other wildlife",2
"28",28,"Animal Control","Community","Vaccinations and Microchipping","Dogs and cats are vaccinated when impounded",3
"29",29,"Animal Control","Community","Veterinary Medical Services","Medical care provided to impounded animals",3
"30",30,"Animal Control","Community","Animal Reclamation","Reunite animals with owners",2
"31",31,"Animal Control","Community","Foster","Place shelter animals into temporary foster homes for socialization  until they reach age weight requirements  or to recover from an illness",2
"32",32,"Animal Control","Community","Animal Control Inspection and Permitting","Provide inspections for enforcement and issuance of permits to meet standards for professional animal facilities and services",2
"33",33,"Art","Community","Public Art","Support a creative and engaged community by integrating art into the fabric of the community  in a variety of locations and facilities",1
"34",34,"Assessor OR Appraiser","Community","Property Deed Transfers","Pull  review and process all transfer of ownership",8
"35",35,"Assessor OR Appraiser","Community","Appeals Abatements","Notifying the taxpayer of the value and the administrative remedies that must be followed if the taxpayer disagrees with the assessor s value",2
"36",36,"Assessor OR Appraiser","Community","Appraiser Certifications","Establish and maintain the educational and certification requirements of the appraisal staff",3
"37",37,"Assessor OR Appraiser","Community","Assessment Roll Maintenance","Create new parcels per subdivision  maintain correct ownership  school support and exemption status  process assessment revisions",3
"38",38,"Assessor OR Appraiser","Community","Assessment & Tax Notices","Send assessment and tax notices",3
"39",39,"Assessor OR Appraiser","Community","Assessor Maps","Transmission of mapping changes to Geographic Information Systems  GIS   and the review and edit of those changes",3
"40",40,"Assessor OR Appraiser","Community","Certification of Values","The  Assessor  reports value and revenue information to each taxing entity for property within its boundary",3
"41",41,"Assessor OR Appraiser","Community","Customer Inquires and Assistance","Assist customers via telephone  computer or walk ins",4
"42",42,"Assessor OR Appraiser","Community","Exemptions","Maintain records of exemptions and valuations",3
"43",43,"Assessor OR Appraiser","Community","Mapping Information Database Maintenance","Maintain and input mapping information and parcel changes",4
"44",44,"Assessor OR Appraiser","Community","Payment Collection & Processing","Accept and process  payments made via the cashier s desk and reconcile cash drawers",2
"45",45,"Assessor OR Appraiser","Community","Personal Property Valuation","Creation or deletion of personal property accounts  and the confirmation of those values using various analytical methods",3
"46",46,"Assessor OR Appraiser","Community","Property Valuation","Data collection and property inspections to facilitate annual recalibration of market and regulated assessment values",9
"47",47,"Assessor OR Appraiser","Community","Property Appraisals","Value property in the using criteria stipulated by statute  Analyze sales data from the sales confirmation process",3
"48",48,"Assessor OR Appraiser","Community","Sales Confirmation","Inspect all sales and verify property information",3
"49",49,"Assessor OR Appraiser","Community","Tax Roll Preparation and Certification","Apply mil levy and fee percentages  and balance  tax roll certification",2
"50",50,"Assessor OR Appraiser","Community","Website Maintenance","Moves Adds Changes for website",3
"51",51,"Assessor OR Appraiser","Community","Property Record Maintenance","Maintain property records database",3
"52",52,"Assessor OR Appraiser","Community","Public Records Research Assistance","Research ownership  assist realtors  attorneys and general public in determining land ownership",2
"53",53,"Assessor OR Appraiser","Community","Real Estate Document Processing","Check documents for errors  receive proper filing fees",3
"54",54,"Assessor OR Appraiser","Community","Archival Assurance of Filed Documents","Scan documents converted to microfilm",3
"55",55,"Assessor OR Appraiser","Community","Mail Machine and Management","Managing the mail system  creating monthly postage reports",2
"56",56,"Assessor OR Appraiser","Community","Online Real Estate Records Access","Administer and manage online services",3
"57",57,"Assessor OR Appraiser","Community","Lien Processing","Filing personal property  federal  state  motor vehicle and medical liens",2
"58",58,"Assessor OR Appraiser","Community","Data Requests","Fill requests made by citizens  customers  consultants  engineers  surveyors  community groups  other government agencies",3
"59",59,"City Clerk","Community","City Archive","Identifying  preserving  and making available records of enduring value",3
"60",60,"City Clerk","Community","Business Registrations and Licenses","Process registrations for businesses and business licenses in accordance with established laws and policies",6
"61",61,"City Clerk","Community","Election Administration","Administer municipal elections and conduct them in and ethical manner in accordance with the law",8
"62",62,"City Clerk","Community","Liquor License Issuance","Process liquor licenses in accordance with established laws and policies",8
"63",63,"City Clerk","Community","Solicitation Permits","Process solicitation permits in accordance with established laws and policies",2
"64",64,"City Clerk","Governance","Agenda Management","Manage the agenda creation and distribution process to ensure that items are properly submitted to the Governing Body for review and approval",4
"65",65,"City Clerk","Governance","Code and Ordinance Codification","Ensure that laws enacted by ordinance of the Governing Body are timely and accurately codified in the municipal code",7
"66",66,"City Clerk","Governance","Legislative Support","Manage all meetings of the Governing Body   Provide research and support to members of the Governing Body",6
"67",67,"City Clerk","Governance","Records Management and Retention","Manage the city s records in accordance with established retention schedules and modern records management best practices",9
"68",68,"City Clerk","Community","Records Requests","Receive and process requests to inspect city records in accordance with the Inspection of Public Records Act and city policy",7
"69",69,"City Clerk","Governance","Boards and Commission Support","Provide support  advice  and guidance to the various boards and commissions   Track and maintain the roster of appointments",4
"70",70,"City Clerk","Governance","Notary Public Services","Witness and authenticate signatures for customers",3
"71",71,"City Clerk","Community","Real Estate Document Receipting","Offering  administering the online services",3
"72",72,"City Clerk","Community","Tobacco Licensing","Process tobacco licenses in accordance with established laws and policies",2
"73",73,"Code Enforcement","Community","Citation Issuance and Prosecution Support","Issue citations  and assist with prosecutions",3
"74",74,"Code Enforcement","Community","Derelict Vehicle Code Enforcement","Vehicles without current registration or unable to move under their own power  considered inoperable or abandoned",3
"75",75,"Code Enforcement","Community","Dilapidated and Unsafe Building Enforcement","Ensure uninhabitable buildings are condemned  demolished and removed",4
"76",76,"Code Enforcement","Community","Foreclosed and Vacant Property Enforcement","Monitor  register and collect fees for the registration of foreclosed property by the bank",3
"77",77,"Code Enforcement","Community","Graffiti Abatement","Manage graffiti abatement program",3
"78",78,"Code Enforcement","Community","Mobile Food Vending Vehicle Enforcement","Ensure that all mobile food vendors have their city license and state environmental permit to sell food from their vehicle",3
"79",79,"Code Enforcement","Community","Neighborhood Code Enforcement","Manage compliance concerns and issue citations where needed",6
"80",80,"Code Enforcement","Community","Off Site Signage Enforcement","Removal of illegal signage posted in the city right of way and on private property without permission",3
"81",81,"Code Enforcement","Community","Clear Site Triangle Violation Enforcement","Evaluate and determine the clear site triangle to ensure safety line of site from a stop sign",3
