"RX_ProgID","ProgID","RX_ProgName","RX_ProgDescription","TotalCost","FTE","ProgName","ProgDescription","PBBComment","BudgetNote","Personnel","NonPersonnel","Revenue","BudgetName","BudgetYear","Org","Pop","DatabaseName","Lat","Long"
492,272,"Preventative Patrol","Attempt to eliminate opportunity for misconduct through police presence in areas of expected crime",6508952.96345265,35.458525,"Patrol Operations","Provides daily shift police services in Battle Creek and Bedford, Abandoned Vehicles (b), Agency Assistance, Breathalyzer,  Child Protective Services Communications, Citizen Ride- Alongs, Coban Processing, EIP, Intelligence Analysis, Offender Transports/Pick Ups, Prostitution Abatement Program, Quarter Master: Uniform & Equipment Management, Silent Observer Monitor, Traffic Enforcement, Walk-In Arrest, Welfare Checks, evidence processing","Status Quo",NA,4996055.391925,1512897.57152765,775112,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
646,495,"Screening   Grit Removal","Systems utilized to remove damaging material prior to the treatment processes to preserve the life of treatment equipment",5501864.4531,10.4387,"WW Treatment","Treatment of industrial wastewater 302 Inflow Pretreatment Pretreatment of wastewater process inflow /screening & grit removal 308 Liquid Treatment Process Secondary Wastewater improvements 315 Plant Screening and Disposal Disposal of plant screenings","Status Quo",NA,946459.4531,4555405,18040800,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
492,272,"Preventative Patrol","Attempt to eliminate opportunity for misconduct through police presence in areas of expected crime",5073292.41234186,32.28932,"Patrol Operations","Provides daily shift police services in Battle Creek and Bedford, Abandoned Vehicles (b), Agency Assistance, Breathalyzer,  Child Protective Services Communications, Citizen Ride- Alongs, Coban Processing, EIP, Intelligence Analysis, Offender Transports/Pick Ups, Prostitution Abatement Program, Quarter Master: Uniform & Equipment Management, Silent Observer Monitor, Traffic Enforcement, Walk-In Arrest, Welfare Checks, evidence processing","Status Quo",NA,4673942.60743,399349.804911859,775112,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
646,495,"Screening   Grit Removal","Systems utilized to remove damaging material prior to the treatment processes to preserve the life of treatment equipment",4742433.1976,10.5118,"WW Treatment","Treatment of industrial wastewater 302 Inflow Pretreatment Pretreatment of wastewater process inflow /screening & grit removal 308 Liquid Treatment Process Secondary Wastewater improvements 315 Plant Screening and Disposal Disposal of plant screenings","Status Quo",NA,911219.1976,3831214,19353000,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
186,230,"Emergency Medical Services","Advanced and basic life support  ambulance transport services  medical alarm response  fire  emergency medical and motor vehicle collision response",4206738.39304962,31.408992,"Emergency Medical Services (EMS)","This program provides a first response level of EMS at the medical first responder certification.  Due to the increase in medical call volume, Fire Dept, EMS training and certification must be increased to meet the demand.","Status Quo",NA,3742996.517248,463741.875801621,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
186,230,"Emergency Medical Services","Advanced and basic life support  ambulance transport services  medical alarm response  fire  emergency medical and motor vehicle collision response",4138899.98285423,30.163642,"Emergency Medical Services (EMS)","This program provides a first response level of EMS at the medical first responder certification.  Due to the increase in medical call volume, Fire Dept, EMS training and certification must be increased to meet the demand.","Status Quo",NA,3736537.3884,402362.594454231,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
616,570,"Trash Collection","Collect  trash  from commercial and residential customers",2968190.46538525,0.135,"Waste/Recycling Contract Management","1) Curbside Trash Removal; 2) Curbside Recycling; 3) Curbside Yard Waste Removal; 4) Christmas Tree Disposal; 5) Bulk Waste Collection; 6) Sludge Removal; 7) Facilities Waste/Recycling Collection; 8) Residential waste contract, includes bulky waste collection, administration of contract and Christmas tree collection. Recycling Events - Yearly collection for residents to dispose of electronic material and/or Styrofoam (not an all inclusive list), contract administration.","Status Quo",NA,16453.6785,2951736.78688525,70000,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
616,570,"Trash Collection","Collect  trash  from commercial and residential customers",2917837.50926229,0.135,"Waste/Recycling Contract Management","1) Curbside Trash Removal; 2) Curbside Recycling; 3) Curbside Yard Waste Removal; 4) Christmas Tree Disposal; 5) Bulk Waste Collection; 6) Sludge Removal; 7) Facilities Waste/Recycling Collection; 8) Residential waste contract, includes bulky waste collection, administration of contract and Christmas tree collection. Recycling Events - Yearly collection for residents to dispose of electronic material and/or Styrofoam (not an all inclusive list), contract administration.","Status Quo",NA,15747.165,2902090.34426229,65000,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
524,392,"Transit Service","Transit services within city limits",1715519.17829994,16.800000629,"Regular Route Service","Regular route service consists of 8 bus routes that operate Monday thru Saturday.","Status Quo",NA,1182584.04443438,532935.133865562,357200,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
524,392,"Transit Service","Transit services within city limits",1636474.83609778,15.530000581,"Regular Route Service","Regular route service consists of 8 bus routes that operate Monday thru Saturday.","Status Quo",NA,1090426.34228863,546048.493809152,366500,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
637,494,"Lift Station Operation and Maintenance","Perform inspection and maintenance to ensure that all lift stations are working properly",1383860.679248,8.7925,"Lift Station","Repairs to building and grounds at lift station sites 306 Lift Station Maintenance Maintain Lift Station properties 307 Lift station maintenance Mechanical repair to lift station equipment 320 Standby Generators Maintain multiple fixed and mobile generators","Status Quo",NA,749072.999,634787.680248,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
569,402,"Street Light Operations and Maintenance","Perform street light maintenance  order needed equipment  and conduct repairs as needed",1350000,0,"Street Lighting Maintenance & Management","Oversee City street lighting contract, including inventory and lighting requests, and contract with Consumers Energy for management of street lighting system including energy costs.  Energy costs, and maintenance and upgrades to street lighting equipment.  The Records Division periodically checks that existing lights are operational.","Status Quo",NA,0,1350000,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
569,402,"Street Light Operations and Maintenance","Perform street light maintenance  order needed equipment  and conduct repairs as needed",1225000,0,"Street Lighting Maintenance & Management","Oversee City street lighting contract, including inventory and lighting requests, and contract with Consumers Energy for management of street lighting system including energy costs.  Energy costs, and maintenance and upgrades to street lighting equipment.  The Records Division periodically checks that existing lights are operational.","Status Quo",NA,0,1225000,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
637,494,"Lift Station Operation and Maintenance","Perform inspection and maintenance to ensure that all lift stations are working properly",1198097.141084,6.8635,"Lift Station","Repairs to building and grounds at lift station sites 306 Lift Station Maintenance Maintain Lift Station properties 307 Lift station maintenance Mechanical repair to lift station equipment 320 Standby Generators Maintain multiple fixed and mobile generators","Status Quo",NA,559384.0853,638713.055784,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
568,417,"Snow Removal","Remove snow and ice with plows and salt spreaders",1092639.18,5.789,"Snow/Ice Operations - Major Streets","Staff, equipment, and materials to plow and salt roads, cul-de-sacs, alleys, and dead ends in City major streets","Status Quo",NA,511029.180000001,581610,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
630,497,"Dewatering and Bio solids Management","Removal of water from solids prior to hauling solids to the landfill   Samples are taken periodically to ensure permit compliance",1047374.9579019,3.99,"Biosolids Operation","Oversight of contract application and compliance of biosolids 290 Biosolids Operations Dewatering and handling of biosolids residuals","Status Quo",NA,353757.84,693617.117901895,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
568,417,"Snow Removal","Remove snow and ice with plows and salt spreaders",985905.045,5.557,"Snow/Ice Operations - Major Streets","Staff, equipment, and materials to plow and salt roads, cul-de-sacs, alleys, and dead ends in City major streets","Status Quo",NA,442921.045,542984,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
568,418,"Snow Removal","Remove snow and ice with plows and salt spreaders",963419.720000001,5.429,"Snow/Ice Operations - Local Streets","Staff, equipment, and materials to plow and salt roads, cul-de-sacs, alleys, and dead ends in the City local streets","Status Quo",NA,477179.72,486240,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
568,418,"Snow Removal","Remove snow and ice with plows and salt spreaders",870576.385,5.247,"Snow/Ice Operations - Local Streets","Staff, equipment, and materials to plow and salt roads, cul-de-sacs, alleys, and dead ends in the City local streets","Status Quo",NA,412401.385,458175,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
524,393,"Transit Service","Transit services within city limits",708823.172833669,7.00000011,"Tele Transit/ADA Service","Federally mandated complimentary paratransit service for ADA certified customers","Status Quo",NA,486766.927791433,222056.245042236,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
524,393,"Transit Service","Transit services within city limits",691859.437214955,6.530000104,"Tele Transit/ADA Service","Federally mandated complimentary paratransit service for ADA certified customers","Status Quo",NA,464339.308734699,227520.128480256,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
564,403,"Pot Hole Repairs","Repair potholes on all paved roads",645894.41157638,3.3660000048,"Routine Road Maintenance - Major Streets","Staff, equipment, and materials to patch potholes, utility cuts, sidewalk and curb repairs, prep for Engineering surface treatment projects, along with general items such as barricade construction, fence repairs, etc., along city major streets.","Status Quo",NA,315793.20676735,330101.204809031,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
564,405,"Pot Hole Repairs","Repair potholes on all paved roads",642006.318410781,4.921,"Routine Road Maintenance - Local Streets","Staff, equipment, and materials to patch potholes, utility cuts, sidewalk and curb repairs, prep for Engineering surface treatment projects, along with general items such as barricade construction, fence repairs, etc., along city local streets.","Status Quo",NA,447217.475,194788.843410781,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
524,394,"Transit Service","Transit services within city limits",614898.137427953,5.980000109,"Tele Transit/Demand Response Service","Door to door service for disabled, seniors and general public on a first come first serve basis.  Established by City Commission. Includes all costs","Status Quo",NA,425198.527653616,189699.609774337,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
182,222,"Emergency Preparedness Outreach and Training","Community outreach in the form of training or presentations relating to emergency management and emergency preparedness",594020.273523782,4.209016,"Fire Safety Education and Events","This program allows the firefighters to get out into the general public and teach fire safety.  The program includes the use of Smoke House in which citizens (adults and children) are placed into a trailer that is designed to look like and feel like an actual residence in which they are taught how to handle everyday emergencies like grease fires within their own home.  Other Public Relation events include fire stations open houses and another event that the Fire Department personnel and apparatus are requested. Some examples of those requests are block parties, parades, and holiday events.","Status Quo",NA,486756.078504,107264.195019782,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
524,394,"Transit Service","Transit services within city limits",587026.220226251,5.520000104,"Tele Transit/Demand Response Service","Door to door service for disabled, seniors and general public on a first come first serve basis.  Established by City Commission. Includes all costs","Status Quo",NA,392658.857034699,194367.363191552,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
494,237,"Computer Forensic Crime Lab","Investigate crimes where a computer  or other technology  was utilized to commit the crime",579610.7938,4.45,"Forensic Analysis","Obtain computer and cellphone information that can be used in court crimes Provide assessment on substances for court cases Manage the daily operational efforts and actions of the Lab Collect evidence during the scene of a crime Provide Crime Scene investigations Manage how the crime scene is kept secure and managed Process all fingerprints obtained in the process of a crime Process all footwear/tire impressions as obtained during the scene of a crime Provide assistance in autopsy's and forensic identifications Investigate crimes Obtain, separate, assess and destroy medication received from the drop off program","Status Quo",NA,468192.25,111418.5438,6000,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
182,222,"Emergency Preparedness Outreach and Training","Community outreach in the form of training or presentations relating to emergency management and emergency preparedness",568214.850724045,4.059091,"Fire Safety Education and Events","This program allows the firefighters to get out into the general public and teach fire safety.  The program includes the use of Smoke House in which citizens (adults and children) are placed into a trailer that is designed to look like and feel like an actual residence in which they are taught how to handle everyday emergencies like grease fires within their own home.  Other Public Relation events include fire stations open houses and another event that the Fire Department personnel and apparatus are requested. Some examples of those requests are block parties, parades, and holiday events.","Status Quo",NA,489095.6747,79119.1760240446,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
564,403,"Pot Hole Repairs","Repair potholes on all paved roads",553728.465156297,3.782,"Routine Road Maintenance - Major Streets","Staff, equipment, and materials to patch potholes, utility cuts, sidewalk and curb repairs, prep for Engineering surface treatment projects, along with general items such as barricade construction, fence repairs, etc., along city major streets.","Status Quo",NA,284331.264,269397.201156297,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
494,237,"Computer Forensic Crime Lab","Investigate crimes where a computer  or other technology  was utilized to commit the crime",537668.40225,4.45,"Forensic Analysis","Obtain computer and cellphone information that can be used in court crimes Provide assessment on substances for court cases Manage the daily operational efforts and actions of the Lab Collect evidence during the scene of a crime Provide Crime Scene investigations Manage how the crime scene is kept secure and managed Process all fingerprints obtained in the process of a crime Process all footwear/tire impressions as obtained during the scene of a crime Provide assistance in autopsy's and forensic identifications Investigate crimes Obtain, separate, assess and destroy medication received from the drop off program","Status Quo",NA,462528.4835,75139.91875,6000,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
564,405,"Pot Hole Repairs","Repair potholes on all paved roads",534165.440824415,5.125,"Routine Road Maintenance - Local Streets","Staff, equipment, and materials to patch potholes, utility cuts, sidewalk and curb repairs, prep for Engineering surface treatment projects, along with general items such as barricade construction, fence repairs, etc., along city local streets.","Status Quo",NA,384543.4,149622.040824415,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
577,523,"Traffic Signal Timing","Perform corridor analysis for traffic signal timing updates  Conduct routine timing adjustments",508649.058269536,3.759,"Traffic Signal Operation and Maintenance","Staff, equipment, and materials to maintain, repair, and install traffic signals, flashers, and related equipment","Status Quo",NA,300059.98,208589.078269536,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
510,274,"Training","Training and maintenance of certifications",500152.407323287,2.722325,"Patrol Training Programs","First Responder Training Provides skills for first responders,  Officer Complaint Investigations Investigate complaints brought forth on officers,  Special Weapons and Tactics Provides education and awareness on special weapons needed in special cases","Status Quo",NA,384000.312725,116152.094598287,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
292,420,"Right of Way Trees","Remove trees and brush  from public right of way",495330.34,2.599,"Right-of-Way Trees - Local Streets","Staff, equipment, and materials to trim, remove trees and brush, grind stumps, topsoil and seed along public Local Street right-of-ways.","Status Quo",NA,223280.34,272050,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
292,420,"Right of Way Trees","Remove trees and brush  from public right of way",482378.895,2.629,"Right-of-Way Trees - Local Streets","Staff, equipment, and materials to trim, remove trees and brush, grind stumps, topsoil and seed along public Local Street right-of-ways.","Status Quo",NA,185358.895,297020,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
577,523,"Traffic Signal Timing","Perform corridor analysis for traffic signal timing updates  Conduct routine timing adjustments",459783.876559136,5.678,"Traffic Signal Operation and Maintenance","Staff, equipment, and materials to maintain, repair, and install traffic signals, flashers, and related equipment","Status Quo",NA,306307.91,153475.966559136,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
23,266,"Animal Rescue Program","Protective custody program for animals",458312.79,2,"Animal Control Administration","Provides animal support by managing the paperwork involved in capturing, housing and disposing of animals. Works with partners to create a process for what should occur for every animal case","Status Quo",NA,165440.79,292872,200,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
23,266,"Animal Rescue Program","Protective custody program for animals",452839,2,"Animal Control Administration","Provides animal support by managing the paperwork involved in capturing, housing and disposing of animals. Works with partners to create a process for what should occur for every animal case","Status Quo",NA,164647,288192,200,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
630,497,"Dewatering and Bio solids Management","Removal of water from solids prior to hauling solids to the landfill   Samples are taken periodically to ensure permit compliance",451642.17386298,3.99,"Biosolids Operation","Oversight of contract application and compliance of biosolids 290 Biosolids Operations Dewatering and handling of biosolids residuals","Status Quo",NA,357422.362,94219.81186298,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
532,391,"Transit Vehicle Maintenance","Manage the maintenance and repairs of  vehicles to ensure compliance",440793.324617419,5.020000031,"Fleet Maintenance","Routine repair & maintenance of all rolling stock to include busses, service vehicles, including fuel, tires, parts, labor, etc.","Status Quo",NA,382893.711446603,57899.613170816,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
279,412,"Drainage Maintenance","Repair and improve drainage  inspect and maintain ditches and culverts",424711.95,3.409,"Local Street Drainage, Storm Ponds, Culverts and Ditch Maintenance","Local Street Stormwater Outreach, Website and Management","Status Quo",NA,289954.95,134757,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
470,399,"Turf Management and Mowing","Manage turf in parks  including fertilization  aeration  pest control  reseeding and sod placement",413953.85152104,0.3564,"City Parks - General Maintenance","Staff, equipment, and materials to maintain turf, trim and remove trees, along with all other general maintenance necessary in City parks.","Status Quo",NA,29997.9039999999,383955.94752104,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
279,412,"Drainage Maintenance","Repair and improve drainage  inspect and maintain ditches and culverts",408687.79,3.482,"Local Street Drainage, Storm Ponds, Culverts and Ditch Maintenance","Local Street Stormwater Outreach, Website and Management","Status Quo",NA,291334.79,117353,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
470,399,"Turf Management and Mowing","Manage turf in parks  including fertilization  aeration  pest control  reseeding and sod placement",398574.739990207,0.3554,"City Parks - General Maintenance","Staff, equipment, and materials to maintain turf, trim and remove trees, along with all other general maintenance necessary in City parks.","Status Quo",NA,27527.8964,371046.843590207,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
510,274,"Training","Training and maintenance of certifications",392278.345601722,2.50054,"Patrol Training Programs","First Responder Training Provides skills for first responders,  Officer Complaint Investigations Investigate complaints brought forth on officers,  Special Weapons and Tactics Provides education and awareness on special weapons needed in special cases","Status Quo",NA,361618.30101,30660.0445917217,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
457,326,"Athletic Field Preparation and Maintenance","Pre practice and pre game mowing  striping  and placement of portable mounds and goals   Regular maintenance of the fields",389628.62,0.505,"Bailey Park Maintenance Repairs and Upgrades","Mowing and general grounds maintenance of 80 acres at Bailey including 8 softball fields, 2 regulation baseball fields, C.O. Brown field, all completely fenced with automatic controlled irrigation, field lights, scoreboards, dugouts, and bleachers.","Status Quo",NA,6575.62,383053,35850,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
532,391,"Transit Vehicle Maintenance","Manage the maintenance and repairs of  vehicles to ensure compliance",387314.946663801,3.860000021,"Fleet Maintenance","Routine repair & maintenance of all rolling stock to include busses, service vehicles, including fuel, tires, parts, labor, etc.","Status Quo",NA,315317.823500337,71997.123163464,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
331,142,"Software Licensing and Compliance","Licensing inventory  upgrade and compliance assurance",383702.948917198,1.7825,"Unified Communications","Software licensing for email/IM functionality, windows operating systems, and City website","Status Quo",NA,202183.14,181519.808917198,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
219,328,"Golf Grounds Maintenance","Maintenance of the golf course",368523.8225,1.12,"Golf Course Maintenance","Maintenance of 27 hole golf course, 3 practice holes, driving range, cart path, tree removal and plantings. Over sees 6.29 contracted FTE's. Customer service of Pro Shop sales, tee time scheduling and answer phone calls for a 27 hole golf course with 3 practice holes and driving range.","Status Quo",NA,131174.8225,237349,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
331,142,"Software Licensing and Compliance","Licensing inventory  upgrade and compliance assurance",358532.231538217,1.5325,"Unified Communications","Software licensing for email/IM functionality, windows operating systems, and City website","Status Quo",NA,172588.1895,185944.042038217,0,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
477,12,"Youth Camps","Provide all day camp programs for youth",357043.3496,1.3043,"Kidventure Camp","12 week active summer day camp for youth ages 5-12.  Participants use city transportation to visit city parks, facilities and area attractions.","Status Quo",NA,170647.3496,186396,5800,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
457,326,"Athletic Field Preparation and Maintenance","Pre practice and pre game mowing  striping  and placement of portable mounds and goals   Regular maintenance of the fields",349076.9483,0.07,"Bailey Park Maintenance Repairs and Upgrades","Mowing and general grounds maintenance of 80 acres at Bailey including 8 softball fields, 2 regulation baseball fields, C.O. Brown field, all completely fenced with automatic controlled irrigation, field lights, scoreboards, dugouts, and bleachers.","Status Quo",NA,6819.9483,342257,23700,"Approved",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
634,466,"Fire Hydrant Maintenance and Repairs","Fire hydrants are inspected and tested to verify that they are working properly   Repairs are performed as needed",346528.045635983,2.46,"Fire Hydrant Flushing Program","Annual flushing of publicly-owned fire hydrants, check operation, clear water main sediment","Status Quo",NA,195872.69,150655.355635983,0,"Proposed",2020,"Battle Creek",51286,"RX_BattleCreekMI","42.2985","-85.2295"
